Game#,Enemies_Killed,HP_Lost,End_Status,Turns_Survived,Score,Time at End of Simulation
1,0,3,Lose,128,-2423,11:06 AM
2,0,3,Lose,227,-2179,11:12 AM
3,0,3,Lose,41,-2610,11:15 AM
4,0,3,Lose,200,-2241,11:19 AM
5,0,3,Lose,62,-2624,11:20 AM
6,0,3,Lose,104,-2607,11:22 AM
7,0,3,Lose,255,-1991,11:29 AM
8,0,3,Lose,169,-2447,11:30 AM
9,0,3,Lose,11,-2790,11:30 AM
10,0,3,Lose,34,-2767,11:31 AM
11,0,3,Lose,242,-2184,11:37 AM
12,0,3,Lose,30,-2721,11:37 AM
13,0,3,Lose,203,-2128,11:40 AM
14,0,3,Lose,217,-2229,11:44 AM
15,0,2,Win,300,10470,11:51 AM
16,0,3,Lose,163,-2233,11:53 AM
17,0,3,Lose,98,-2643,11:57 AM
18,0,3,Lose,132,-2474,11:59 AM
19,0,3,Lose,82,-2569,12:00 PM
20,0,3,Lose,217,-2319,12:02 PM
